canonical_smiles,label,molecular_weight,heavy_atoms,hbd,hba,rotatable_bonds,rings,aromatic_rings,fraction_csp3,logp
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCC,0,660.9619999999996,45,2,6,33,0,0,0.9166666666666666,8.608200000000005
CN(C)CCOC(C)(c1ccccc1)c1ccccc1,1,269.38800000000003,20,0,2,6,2,2,0.3333333333333333,3.5283000000000024
CC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,1,332.4200000000001,24,1,4,5,4,1,0.631578947368421,1.4527999999999996
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)N)C(=O)O,0,316.358,22,5,5,9,0,0,0.6923076923076923,-1.690699999999996
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,1,312.377,23,1,5,3,3,2,0.5,1.5447799999999996
CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO[C@]5(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O5)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@@H]2O)[C@@H]1O,0,2444.2289999999953,167,42,67,45,13,0,0.9247311827956989,-28.234800000000046
CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c2c1OC(c1ccccc1)CC2=O,0,392.4950000000001,29,2,4,6,3,2,0.32,6.039500000000007
CCCC(=O)N1CC2(CN(C(=O)C3CC3)C2)c2c(n(C)c3cc(OC)ccc23)[C@H]1CO,0,425.52900000000017,31,1,4,5,5,2,0.5833333333333334,2.352600000000001
O=C1c2cc(-c3ccc(OC(F)(F)F)cc3)ccc2OCCN1Cc1ncccn1,0,415.3710000000002,30,0,5,4,4,3,0.19047619047619047,4.0770000000000035
CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1,1,359.604,24,0,3,10,2,2,0.42857142857142855,5.963000000000006
CC(=O)O[C@H]1CC(=O)OC(C)(C)[C@@H]2[C@H](OC(C)=O)C[C@@]3(C)Oc4cc(C)oc(=O)c4C[C@@H]3[C@@]12C,0,476.5220000000004,34,0,9,2,4,1,0.68,2.873120000000001
CCSc1nncn1N=Cc1ccc(OC)c(OC)c1,0,292.36400000000003,20,0,6,6,2,2,0.3076923076923077,2.2895000000000003
CCC(OC(N)=O)C1CCCCC1,1,185.26699999999994,13,1,2,3,1,0,0.9,2.4406000000000008
CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1,434.5040000000002,31,2,6,3,4,0,0.7083333333333334,2.466500000000001
CCCCCCC/C=C/C(O)CCCCCCCC(=O)O,0,298.4669999999999,21,2,2,15,0,0,0.8333333333333334,5.079300000000004
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,1,462.5130000000001,31,3,9,7,4,2,0.3333333333333333,-0.2255999999999989
O=c1nc[nH]c2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12,1,266.257,19,6,6,2,3,2,0.45454545454545453,-2.0218
