class,threshold,n_total,n_within_threshold,fraction_within_threshold,median_nearest_distance,mean_nearest_distance
DrugCentral,0.5,4098,3531,0.8616398243045388,0.2654565178419721,0.3754782423757895
ChEBI,0.5,4098,2796,0.6822840409956076,0.35783268241506205,0.6083597459416644
DrugCentral,1.0,4098,3969,0.9685212298682284,0.2654565178419721,0.3754782423757895
ChEBI,1.0,4098,3603,0.8792093704245973,0.35783268241506205,0.6083597459416644
DrugCentral,1.5,4098,4034,0.984382625671059,0.2654565178419721,0.3754782423757895
ChEBI,1.5,4098,3815,0.9309419228892143,0.35783268241506205,0.6083597459416644
DrugCentral,2.0,4098,4049,0.9880429477794046,0.2654565178419721,0.3754782423757895
ChEBI,2.0,4098,3934,0.9599804782820889,0.35783268241506205,0.6083597459416644
DrugCentral,2.5,4098,4053,0.9890190336749634,0.2654565178419721,0.3754782423757895
ChEBI,2.5,4098,3975,0.9699853587115667,0.35783268241506205,0.6083597459416644
DrugCentral,3.0,4098,4062,0.9912152269399708,0.2654565178419721,0.3754782423757895
ChEBI,3.0,4098,3991,0.9738897022938019,0.35783268241506205,0.6083597459416644
