descriptor,group_a,group_b,group_a_median,group_b_median,mannwhitney_p,cliffs_delta,p_fdr_bh
molecular_weight,false_positive,correct,339.37300000000005,416.17150000000015,1.0012853664209058e-06,-0.3165588305775221,3.373377373679126e-06
heavy_atoms,false_positive,correct,24.0,29.0,1.1244591245597087e-06,-0.3149156139810345,3.373377373679126e-06
hbd,false_positive,correct,1.0,2.0,0.0034017657375145,-0.1854096059703536,0.00510264860627175
hba,false_positive,correct,4.0,5.0,1.97486426788412e-06,-0.3056725206257916,4.4434446027392695e-06
rotatable_bonds,false_positive,correct,5.0,5.0,0.0087642797891485,-0.1690287905241176,0.011268359728905214
rings,false_positive,correct,3.0,3.0,0.0122481650073152,-0.1577830269419054,0.0137791856332296
aromatic_rings,false_positive,correct,2.0,1.0,4.717538123898235e-05,0.2539283146759782,8.491568623016823e-05
fraction_csp3,false_positive,correct,0.32,0.5333333333333333,3.29946189593198e-09,-0.382835233302523,2.969515706338782e-08
logp,false_positive,correct,2.860080000000001,2.634950000000001,0.3711763142564475,0.0578891513470952,0.3711763142564475
molecular_weight,false_negative,correct,517.6395000000003,416.17150000000015,0.0003120014181223,0.3058566978193146,0.0006099453833353201
heavy_atoms,false_negative,correct,36.5,29.0,0.0003388585462974,0.3038940809968847,0.0006099453833353201
hbd,false_negative,correct,3.0,2.0,0.0014017938517271,0.2657009345794393,0.0021026907775906502
hba,false_negative,correct,9.0,5.0,4.527420762999069e-05,0.3439563862928348,0.00013582262288997207
rotatable_bonds,false_negative,correct,7.5,5.0,0.0057509365649455,0.2335514018691588,0.007394061297787071
rings,false_negative,correct,4.0,3.0,0.0478303117960013,0.1638006230529595,0.05380910077050146
aromatic_rings,false_negative,correct,0.0,1.0,1.1790555551918111e-06,-0.3941744548286604,5.30574999836315e-06
fraction_csp3,false_negative,correct,0.780952380952381,0.5333333333333333,1.5243215668429614e-07,0.4453271028037383,1.3718894101586652e-06
logp,false_negative,correct,2.830550000000003,2.634950000000001,0.2157374721013515,0.1050467289719626,0.2157374721013515
molecular_weight,false_positive,false_negative,339.37300000000005,517.6395000000003,1.0858680711198344e-08,-0.5832967032967032,2.4432031600196274e-08
heavy_atoms,false_positive,false_negative,24.0,36.5,1.7504595399681982e-08,-0.5745054945054945,3.150827171942757e-08
hbd,false_positive,false_negative,1.0,3.0,2.6618090240373217e-06,-0.4701098901098901,3.992713536055983e-06
hba,false_positive,false_negative,4.0,9.0,1.1770008617747351e-09,-0.6167032967032967,3.5310025853242053e-09
rotatable_bonds,false_positive,false_negative,5.0,7.5,3.842727557906807e-05,-0.4184615384615384,4.9406497173087524e-05
rings,false_positive,false_negative,3.0,4.0,0.0121214825203408,-0.2494505494505494,0.0136366678353834
aromatic_rings,false_positive,false_negative,2.0,0.0,3.606722134817313e-11,0.6531868131868132,1.6230249606677908e-10
fraction_csp3,false_positive,false_negative,0.32,0.780952380952381,5.109069249171036e-12,-0.7041758241758241,4.5981623242539326e-11
logp,false_positive,false_negative,2.860080000000001,2.830550000000003,0.7579762476571686,-0.0316483516483516,0.7579762476571686
