split,roc_auc,pr_auc,seed,matched_train_size,original_train_size
validation,0.8686019862490449,0.8648832563095038,20260813,6518,6627
test,0.8816811613156346,0.8597909633638384,20260813,6518,6627
validation,0.8586185056773292,0.8450800749225742,20260814,6518,6627
test,0.9218792911789708,0.9131764712545891,20260814,6518,6627
validation,0.862820186349598,0.8544136100826669,20260815,6520,6628
test,0.9088996244026825,0.9037035099021921,20260815,6520,6628
validation,0.8675376910671029,0.8554741893153158,20260816,6518,6627
test,0.8708134440593737,0.8563908333226093,20260816,6518,6627
validation,0.86107356695592,0.843216187863493,20260817,6520,6629
test,0.8879084838446776,0.8697039793608081,20260817,6520,6629
