section,claim,analysis,source_file,metric,estimate,lower_ci,upper_ci,interpretation
Dataset,"Final modeling dataset contains 8,196 molecules.",Final modeling dataset,data/processed/modeling_dataset.csv,n,8196.0,,,Final standardized modeling dataset.
Dataset,ChEBI contributes 4098 molecules.,Dataset composition,data/processed/modeling_dataset.csv,n,4098.0,,,
Dataset,DrugCentral contributes 4098 molecules.,Dataset composition,data/processed/modeling_dataset.csv,n,4098.0,,,
Results,Random-split test performance.,Random-split Morgan Random Forest,results/tables/baseline_results.csv,roc_auc,0.916365258774539,,,
Results,Random-split test performance.,Random-split Morgan Random Forest,results/tables/baseline_results.csv,pr_auc,0.9001383063733756,,,
Results,Random-split test performance.,Random-split Morgan Random Forest,results/tables/baseline_results.csv,accuracy,0.848780487804878,,,
Results,Random-split test performance.,Random-split Morgan Random Forest,results/tables/baseline_results.csv,precision,0.8055555555555556,,,
Results,Random-split test performance.,Random-split Morgan Random Forest,results/tables/baseline_results.csv,recall,0.9195121951219511,,,
Results,Random-split test performance.,Random-split Morgan Random Forest,results/tables/baseline_results.csv,f1,0.8587699316628702,,,
Robustness,Repeated scaffold performance across five seeds.,Repeated scaffold evaluation,results/tables/repeated_scaffold_results.csv,rf_roc_auc,0.8923508838469839,,,Mean ± SD = 0.8924 ± 0.0219
Robustness,Repeated scaffold performance across five seeds.,Repeated scaffold evaluation,results/tables/repeated_scaffold_results.csv,rf_pr_auc,0.8774502521709323,,,Mean ± SD = 0.8775 ± 0.0283
Robustness,Repeated scaffold performance across five seeds.,Repeated scaffold evaluation,results/tables/repeated_scaffold_results.csv,lr_roc_auc,0.8518264540491769,,,Mean ± SD = 0.8518 ± 0.0187
Robustness,Repeated scaffold performance across five seeds.,Repeated scaffold evaluation,results/tables/repeated_scaffold_results.csv,lr_pr_auc,0.8454183463660477,,,Mean ± SD = 0.8454 ± 0.0158
Uncertainty,Bootstrap uncertainty for roc_auc.,"5,000-replicate bootstrap",results/tables/bootstrap_test_metrics.csv,roc_auc,0.877064670110508,0.851486670329383,0.9013452074687384,Percentile bootstrap 95% CI.
Uncertainty,Bootstrap uncertainty for pr_auc.,"5,000-replicate bootstrap",results/tables/bootstrap_test_metrics.csv,pr_auc,0.8502877318350864,0.8113466712539474,0.8866641735939084,Percentile bootstrap 95% CI.
Uncertainty,Bootstrap uncertainty for accuracy.,"5,000-replicate bootstrap",results/tables/bootstrap_test_metrics.csv,accuracy,0.8199233716475096,0.7931034482758621,0.8467432950191571,Percentile bootstrap 95% CI.
Uncertainty,Bootstrap uncertainty for f1.,"5,000-replicate bootstrap",results/tables/bootstrap_test_metrics.csv,f1,0.8362369337979094,0.8084581779173508,0.8622620380739082,Percentile bootstrap 95% CI.
Applicability domain,Performance varies across molecular similarity bin <0.4.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,roc_auc,0.7602040816326531,,,n=275; mean similarity=0.308
Applicability domain,Performance varies across molecular similarity bin <0.4.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,pr_auc,0.6632206429008558,,,
Applicability domain,Performance varies across molecular similarity bin 0.4-0.5.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,roc_auc,0.8551459673428994,,,n=133; mean similarity=0.445
Applicability domain,Performance varies across molecular similarity bin 0.4-0.5.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,pr_auc,0.860761381829792,,,
Applicability domain,Performance varies across molecular similarity bin 0.5-0.6.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,roc_auc,0.8695752539242845,,,n=133; mean similarity=0.548
Applicability domain,Performance varies across molecular similarity bin 0.5-0.6.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,pr_auc,0.852235646259283,,,
Applicability domain,Performance varies across molecular similarity bin 0.6-0.7.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,roc_auc,0.947979797979798,,,n=111; mean similarity=0.647
Applicability domain,Performance varies across molecular similarity bin 0.6-0.7.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,pr_auc,0.9621203731734048,,,
Applicability domain,Performance varies across molecular similarity bin 0.7-0.8.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,roc_auc,0.9436363636363636,,,n=69; mean similarity=0.739
Applicability domain,Performance varies across molecular similarity bin 0.7-0.8.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,pr_auc,0.9456080795734978,,,
Applicability domain,Performance varies across molecular similarity bin 0.8-0.9.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,roc_auc,0.9930555555555556,,,n=30; mean similarity=0.840
Applicability domain,Performance varies across molecular similarity bin 0.8-0.9.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,pr_auc,0.976190476190476,,,
Applicability domain,Performance varies across molecular similarity bin >=0.9.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,roc_auc,1.0,,,n=32; mean similarity=0.955
Applicability domain,Performance varies across molecular similarity bin >=0.9.,Nearest-training-molecule similarity analysis,results/tables/applicability_domain_summary.csv,pr_auc,1.0,,,
Error analysis,molecular_weight differs between false_positive and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,molecular_weight,-0.3165588305775221,,,FDR-adjusted p=3.373e-06; Cliff's delta=-0.3166
Error analysis,heavy_atoms differs between false_positive and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,heavy_atoms,-0.3149156139810345,,,FDR-adjusted p=3.373e-06; Cliff's delta=-0.3149
Error analysis,hbd differs between false_positive and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,hbd,-0.1854096059703536,,,FDR-adjusted p=0.005103; Cliff's delta=-0.1854
Error analysis,hba differs between false_positive and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,hba,-0.3056725206257916,,,FDR-adjusted p=4.443e-06; Cliff's delta=-0.3057
Error analysis,rotatable_bonds differs between false_positive and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,rotatable_bonds,-0.1690287905241176,,,FDR-adjusted p=0.01127; Cliff's delta=-0.1690
Error analysis,rings differs between false_positive and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,rings,-0.1577830269419054,,,FDR-adjusted p=0.01378; Cliff's delta=-0.1578
Error analysis,aromatic_rings differs between false_positive and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,aromatic_rings,0.2539283146759782,,,FDR-adjusted p=8.492e-05; Cliff's delta=0.2539
Error analysis,fraction_csp3 differs between false_positive and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,fraction_csp3,-0.382835233302523,,,FDR-adjusted p=2.97e-08; Cliff's delta=-0.3828
Error analysis,logp differs between false_positive and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,logp,0.0578891513470952,,,FDR-adjusted p=0.3712; Cliff's delta=0.0579
Error analysis,molecular_weight differs between false_negative and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,molecular_weight,0.3058566978193146,,,FDR-adjusted p=0.0006099; Cliff's delta=0.3059
Error analysis,heavy_atoms differs between false_negative and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,heavy_atoms,0.3038940809968847,,,FDR-adjusted p=0.0006099; Cliff's delta=0.3039
Error analysis,hbd differs between false_negative and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,hbd,0.2657009345794393,,,FDR-adjusted p=0.002103; Cliff's delta=0.2657
Error analysis,hba differs between false_negative and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,hba,0.3439563862928348,,,FDR-adjusted p=0.0001358; Cliff's delta=0.3440
Error analysis,rotatable_bonds differs between false_negative and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,rotatable_bonds,0.2335514018691588,,,FDR-adjusted p=0.007394; Cliff's delta=0.2336
Error analysis,rings differs between false_negative and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,rings,0.1638006230529595,,,FDR-adjusted p=0.05381; Cliff's delta=0.1638
Error analysis,aromatic_rings differs between false_negative and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,aromatic_rings,-0.3941744548286604,,,FDR-adjusted p=5.306e-06; Cliff's delta=-0.3942
Error analysis,fraction_csp3 differs between false_negative and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,fraction_csp3,0.4453271028037383,,,FDR-adjusted p=1.372e-06; Cliff's delta=0.4453
Error analysis,logp differs between false_negative and correct.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,logp,0.1050467289719626,,,FDR-adjusted p=0.2157; Cliff's delta=0.1050
Error analysis,molecular_weight differs between false_positive and false_negative.,Mann-Whitney U test with Benjamini-Hochberg FDR correction,results/tables/error_group_statistics_corrected.csv,molecular_weight,-0.5832967032967032,,,FDR-adjusted p=2.443e-08; Cliff's delta=-0.5833
